work_order_id,appointment_id,customer_id,vehicle_id,opened_at,closed_at,status,advisor,assigned_tech,priority,odometer,symptom,cause,correction,labor_hours,labor_sale,parts_sale,shop_supplies,sublet_sale,discount,tax,total,approval_state,payment_state,invoice_number,tags,notes
WO-400024,APPT-300750,CUST-101347,VEH-200239,2024-10-24T23:03,,closed,Jade Davis,Avery Smith,low,162320,ABS light,,Replaced hose and topped coolant,5.7,873.19,582.69,1.23,0,0,72.86,1529.97,declined,written_off,INV-500024,"brakes, diag",Legacy WO imported from old DMS
WO-400025,,CUST-101646,VEH-200144,2024-07-25T01:55,2024-07-29T06:55,invoiced,Edward Garcia,Ella Lee,urgent,262026,PM due,Battery failed load test,,7.1,1249.27,609.35,31.67,0,0,94.51,1984.8,approved,partial,INV-500025,,Customer approved by text
WO-400026,,CUST-100585,VEH-200684,2025-01-01T17:30,2025-01-03T15:30,awaiting_approval,Mateo Nelson,Mia Green,normal,202546,Pulling left,Pads below spec,Performed PM service,10.9,1354.1,1672.55,0.52,0,0,151.36,3178.53,declined,written_off,INV-500026,brakes,Fleet billing
WO-400027,,CUST-100049,VEH-201121,2025-01-19T03:25,2025-01-19T20:25,completed,Logan Brown,Lucas Baker,normal,277140,PM due,Battery failed load test,,13.1,1523.17,907.71,1.67,0,0,121.63,2554.18,approved,written_off,,"fleet, brakes",Legacy WO imported from old DMS
WO-400028,,CUST-101088,VEH-200074,2024-11-04T04:10,2024-11-05T09:10,invoiced,Mia Smith,Leo Wilson,normal,120110,Oil life low,P0420 stored,Replaced hose and topped coolant,2.6,441.55,2210.19,86.74,0,0,136.92,2875.4,pending,partial,INV-500028,"brakes, pm, waiter",Customer approved by text
WO-400029,,CUST-100593,VEH-201456,2026-03-25T02:46,,awaiting_approval,Evelyn Ramirez,Avery Nelson,high,166814,ABS light,P0420 stored,Diagnosed wiring fault,12.6,2110.27,993.03,30.51,0,69.17,153.23,3217.87,approved,paid,INV-500029,"pm, waiter",
WO-400030,,CUST-100088,VEH-201082,2024-04-12T11:23,2024-04-15T08:23,invoiced,Ava Sanchez,Emma Robinson,normal,171091,Pulling left,Front tires cupped,Installed battery,10.1,1601.18,146.44,5.0,0,0,87.63,1840.25,declined,partial,INV-500030,fleet,Fleet billing
WO-400031,APPT-300507,CUST-100438,VEH-202372,2025-07-04T09:33,2025-07-07T06:33,closed,Harper Ramirez,Charlotte Martinez,high,91725,Oil life low,Pads below spec,,15.0,2597.5,2331.7,28.18,0,0,247.87,5205.25,approved,written_off,INV-500031,"diag, pm",Customer approved by text
WO-400032,APPT-300408,CUST-100125,VEH-201309,2025-03-19T11:27,,on_hold,Mila Torres,Maya Adams,low,3694,ABS light,Loose tie rod,,4.4,513.33,2278.68,13.57,0,0,140.28,2945.86,approved,paid,INV-500032,,
WO-400033,APPT-300244,CUST-101640,VEH-202013,2025-03-22T23:07,2025-03-24T17:07,completed,Riley Johnson,Lucas Martin,normal,56465,No crank,Coolant leak at upper hose,Diagnosed wiring fault,3.5,479.7,244.16,1.68,0,98.48,31.35,658.41,pending,written_off,INV-500033,,Needs comeback follow-up
WO-400034,,CUST-100961,VEH-202275,2025-02-22T20:13,2025-02-26T05:13,completed,Logan Young,Kaitlyn Robinson,high,43748,PM due,Battery failed load test,Replaced front pads/rotors,13.2,2021.75,1904.36,139.75,0,0,203.29,4269.15,not_required,paid,,"fleet, pm",Legacy WO imported from old DMS
WO-400035,APPT-300538,CUST-101206,VEH-202187,2024-08-23T02:00,2024-08-25T07:00,invoiced,Ethan Clark,Amelia Garcia,urgent,197662,Vibration,Pads below spec,Diagnosed wiring fault,13.4,1817.43,1554.22,39.39,0,0,170.55,3581.59,approved,unpaid,INV-500035,,Fleet billing
WO-400036,APPT-300075,CUST-100345,VEH-202211,2024-11-05T17:12,2024-11-06T23:12,closed,Ethan Smith,Liam Scott,low,211536,Vibration,P0420 stored,Recommended tires,12.7,1588.74,131.15,5.58,0,0,86.27,1811.74,approved,written_off,INV-500036,"diag, waiter, pm",Fleet billing
WO-400037,,CUST-100617,VEH-202460,2026-01-04T11:18,2026-01-08T18:18,completed,Lucas Harris,Leo Jones,high,253848,Pulling left,Loose tie rod,,5.9,742.43,31.23,1.74,0,0,38.77,814.17,approved,partial,INV-500037,,
WO-400038,APPT-300146,CUST-100422,VEH-200948,2025-06-05T01:07,2025-06-05T03:07,awaiting_approval,Edward Brown,Ella Walker,low,396849,PM due,Loose tie rod,Recommended tires,3.6,607.45,597.28,6.21,0,0,60.55,1271.49,not_required,partial,,pm,Fleet billing
WO-400039,,CUST-100839,VEH-201007,2024-11-29T17:29,2024-12-04T15:29,invoiced,Ethan Johnson,Logan Wilson,normal,36151,ABS light,Coolant leak at upper hose,Installed battery,3.6,414.08,749.06,4.46,0,0,58.38,1225.98,not_required,unpaid,INV-500039,,Legacy WO imported from old DMS
WO-400040,APPT-300713,CUST-100800,VEH-202564,2025-02-06T17:20,2025-02-10T12:20,closed,Harper Moore,Charlotte Walker,low,208162,Vibration,Front tires cupped,Installed battery,7.5,1022.65,1677.12,33.56,0,29.85,135.17,2838.65,approved,unpaid,INV-500040,,
WO-400041,,CUST-101200,VEH-202391,2025-01-08T15:45,2025-01-09T23:45,awaiting_approval,Finn Walker,Leo Clark,low,360456,Vibration,Pads below spec,Performed PM service,14.2,2620.12,2070.35,96.99,0,0,239.37,5026.83,not_required,partial,INV-500041,,Needs comeback follow-up
WO-400042,,CUST-101233,VEH-200555,2024-12-15T23:31,2024-12-16T13:31,invoiced,Wyatt Green,Avery Robinson,high,224567,Vibration,,Recommended tires,12.6,1489.54,1540.66,7.45,0,0,151.88,3189.53,declined,paid,INV-500042,,Needs comeback follow-up
WO-400043,,CUST-100757,VEH-201416,2025-05-11T11:25,2025-05-15T01:25,closed,Ethan Jones,Nora Johnson,high,225481,ABS light,Coolant leak at upper hose,Replaced front pads/rotors,4.4,721.69,1232.86,53.06,0,0,100.38,2107.99,declined,partial,INV-500043,,Needs comeback follow-up
WO-400044,,CUST-101159,VEH-201000,2024-07-06T23:29,2024-07-11T02:29,awaiting_approval,Mia Flores,,normal,27830,Grinding brakes,Front tires cupped,Replaced front pads/rotors,14.8,2198.19,1856.17,107.92,0,0,208.11,4370.39,not_required,paid,INV-500044,"diag, brakes",Customer approved by text
WO-400045,APPT-300333,CUST-101303,VEH-201869,2024-08-21T11:00,,in_progress,Mila Johnson,Emma Sanchez,high,89836,No crank,Loose tie rod,Performed PM service,2.9,533.04,1056.27,10.12,0,102.8,74.83,1571.46,not_required,paid,INV-500045,"comeback-risk, fleet",
WO-400046,APPT-300773,CUST-100810,VEH-201052,2024-04-10T09:21,2024-04-10T20:21,completed,Mikayla Williams,Noah Thomas,high,143981,Pulling left,Loose tie rod,Replaced front pads/rotors,7.3,1270.35,374.01,11.39,0,0,82.79,1738.54,declined,paid,INV-500046,"comeback-risk, upsell",Fleet billing
WO-400047,,CUST-100872,VEH-202055,2025-02-25T03:29,2025-02-27T15:29,closed,Lucas Martinez,Mateo Lee,urgent,32893,Pulling left,Coolant leak at upper hose,Recommended tires,6.8,1021.03,1383.21,61.93,0,0,123.31,2589.48,declined,partial,INV-500047,fleet,Customer approved by text
WO-400048,,CUST-101746,VEH-201569,2025-10-28T08:50,2025-11-01T19:50,invoiced,Riley Nelson,Ava Scott,high,359617,Oil life low,Loose tie rod,Installed battery,8.6,1209.23,1169.92,37.81,0,0,120.85,2537.81,not_required,unpaid,,"comeback-risk, upsell, diag",Fleet billing
WO-400049,,CUST-100118,VEH-200672,2024-02-23T01:17,2024-02-27T23:17,invoiced,Ella Torres,Abigail Miller,urgent,363363,ABS light,Front tires cupped,Replaced hose and topped coolant,11.3,1785.73,2211.61,128.49,0,0,206.29,4332.12,not_required,partial,INV-500049,"upsell, waiter, comeback-risk",
WO-400050,APPT-300529,CUST-100416,VEH-200698,2025-01-23T14:45,,in_progress,Nora Anderson,Wyatt Baker,urgent,119073,CEL on,P0420 stored,Recommended tires,12.6,2076.83,238.31,10.3,0,0,116.27,2441.71,not_required,paid,INV-500050,"upsell, waiter, fleet",Customer approved by text
WO-400051,,CUST-100960,VEH-201131,2024-01-23T00:10,2024-01-23T18:10,invoiced,Layla Perez,James Robinson,normal,343439,Vibration,Loose tie rod,Diagnosed wiring fault,13.8,2141.74,1090.01,39.38,0,46.0,161.26,3386.39,approved,partial,INV-500051,"pm, comeback-risk, upsell",Legacy WO imported from old DMS
WO-400052,APPT-300411,CUST-101576,VEH-201182,2025-11-08T08:47,2025-11-09T11:47,completed,Lucas Ramirez,Charlotte Thompson,high,221132,No crank,Pads below spec,Installed battery,13.9,1688.08,1664.95,127.81,0,44.65,171.81,3608.0,not_required,paid,INV-500052,pm,
WO-400053,,CUST-101345,VEH-200923,2025-03-03T05:07,2025-03-05T07:07,completed,Ella Harris,Layla Walker,high,83732,Grinding brakes,Battery failed load test,Diagnosed wiring fault,15.3,2660.34,2245.59,59.89,0,0,248.29,5214.11,declined,written_off,INV-500053,upsell,Needs comeback follow-up
WO-400054,,CUST-100602,VEH-202336,2026-01-16T09:02,2026-01-20T19:02,completed,Scarlett Hill,Jade Davis,high,388732,PM due,Pads below spec,Performed PM service,9.7,1280.59,1238.59,66.81,0,118.64,123.37,2590.72,pending,written_off,INV-500054,brakes,Fleet billing
WO-400055,APPT-300089,CUST-101325,VEH-202584,2026-02-04T17:43,2026-02-06T12:43,awaiting_approval,Kaitlyn Torres,Emma Allen,normal,252342,ABS light,Loose tie rod,Recommended tires,14.9,2727.41,633.1,35.92,0,2.88,169.68,3563.23,pending,partial,INV-500055,"upsell, brakes, diag",Legacy WO imported from old DMS
WO-400056,APPT-300732,CUST-100136,VEH-202074,2025-08-22T06:35,2025-08-22T08:35,invoiced,Ethan Johnson,Mateo Rodriguez,urgent,177808,No crank,Battery failed load test,Performed PM service,2.3,419.43,1675.06,77.99,0,0,108.62,2281.1,pending,paid,INV-500056,"comeback-risk, diag, brakes",Legacy WO imported from old DMS
WO-400057,,CUST-100621,VEH-202294,2024-07-12T01:41,2024-07-12T02:41,invoiced,Sophia Thompson,,low,15862,Vibration,P0420 stored,Installed battery,8.8,1434.91,703.43,10.27,0,116.26,101.62,2133.97,pending,partial,INV-500057,"waiter, upsell",Needs comeback follow-up
WO-400058,,CUST-101272,VEH-201528,2024-06-03T07:32,,awaiting_approval,Sophia Torres,Avery Flores,low,254588,CEL on,Loose tie rod,Recommended tires,1.0,150.65,2007.28,104.36,0,0,113.11,2375.4,approved,written_off,INV-500058,"brakes, waiter",Needs comeback follow-up
WO-400059,,CUST-100187,VEH-202292,2025-02-03T01:21,,invoiced,Finn Garcia,Lucas Brown,high,124981,Vibration,Coolant leak at upper hose,Replaced hose and topped coolant,8.6,1512.15,600.95,47.89,0,0,108.05,2269.04,approved,partial,INV-500059,fleet,
WO-400060,,CUST-100380,VEH-202488,2024-06-16T16:46,2024-06-17T19:46,closed,Harper Martinez,Logan Rodriguez,low,365667,Pulling left,Loose tie rod,,3.6,478.29,954.89,15.28,0,0,72.42,1520.88,declined,written_off,INV-500060,,Needs comeback follow-up
WO-400061,,CUST-100168,VEH-200322,2025-04-17T21:38,,invoiced,James Miller,Nora Garcia,normal,127316,Pulling left,P0420 stored,Replaced hose and topped coolant,11.8,2072.45,1666.9,75.66,0,0,190.75,4005.76,not_required,written_off,INV-500061,waiter,Needs comeback follow-up
WO-400062,,CUST-101067,VEH-201253,2023-12-31T19:58,2024-01-02T00:58,invoiced,Mila Smith,Finn Rodriguez,high,277039,Overheating,Coolant leak at upper hose,Installed battery,10.1,1566.24,1777.9,44.21,113.2,73.24,171.42,3599.73,not_required,unpaid,INV-500062,diag,Customer approved by text
WO-400063,APPT-300705,CUST-100931,VEH-202479,2024-01-07T04:13,2024-01-09T03:13,invoiced,James Taylor,,urgent,60030,Grinding brakes,P0420 stored,,3.5,594.96,159.51,8.91,0,0,38.17,801.55,pending,written_off,,,
WO-400064,,CUST-100319,VEH-201314,2025-01-19T18:37,2025-01-23T19:37,completed,Liam Robinson,Zoey Robinson,high,410654,Oil life low,Coolant leak at upper hose,Performed PM service,15.8,2046.06,1694.92,133.44,0,0,193.72,4068.14,approved,partial,INV-500064,"comeback-risk, waiter",Fleet billing
WO-400065,,CUST-100591,VEH-201920,2025-12-19T10:55,,awaiting_approval,Noah Anderson,,high,417108,ABS light,Coolant leak at upper hose,Diagnosed wiring fault,12.3,2077.6,1151.75,52.29,0,0,164.08,3445.72,pending,paid,INV-500065,,Customer approved by text
WO-400066,,CUST-100911,VEH-201730,2025-06-24T02:24,2025-06-25T12:24,invoiced,Mason Taylor,Avery Nelson,low,159218,CEL on,Loose tie rod,Recommended tires,3.3,386.88,2268.91,134.45,0,0,139.51,2929.75,declined,partial,INV-500066,waiter,Legacy WO imported from old DMS
WO-400067,,CUST-101176,VEH-202283,2025-01-31T23:35,2025-02-02T23:35,awaiting_approval,Kaitlyn Jones,Charlotte Allen,normal,380371,Grinding brakes,,Installed battery,11.1,1360.9,138.86,9.09,0,0,75.44,1584.29,approved,written_off,INV-500067,waiter,Customer approved by text
WO-400068,,CUST-101070,VEH-201807,2024-08-09T23:36,2024-08-13T10:36,awaiting_approval,Liam Johnson,Mason Perez,high,250808,Pulling left,,Replaced front pads/rotors,7.6,905.96,1930.66,44.43,0,0,144.05,3025.1,declined,paid,INV-500068,,Legacy WO imported from old DMS
WO-400069,,CUST-101319,VEH-202540,2025-12-25T17:16,2025-12-26T11:16,closed,Amelia White,Nora Thompson,high,116423,CEL on,P0420 stored,Replaced front pads/rotors,11.4,1577.29,1642.53,124.89,0,0,167.24,3511.95,not_required,unpaid,INV-500069,"fleet, brakes",Legacy WO imported from old DMS
WO-400070,,CUST-100372,VEH-202334,2024-05-02T17:04,2024-05-07T17:04,awaiting_approval,Emma Harris,Ava White,high,128350,ABS light,Battery failed load test,Replaced hose and topped coolant,8.7,1323.58,1750.88,20.74,841.02,0,196.81,4133.03,declined,partial,INV-500070,diag,
WO-400071,,CUST-100453,VEH-202075,2025-06-23T10:30,2025-06-24T14:30,closed,Sophia Walker,Ella Jones,low,363522,Overheating,P0420 stored,Installed battery,1.7,249.14,1052.07,78.35,52.68,42.28,69.5,1459.46,pending,paid,INV-500071,pm,Legacy WO imported from old DMS
WO-400072,APPT-300751,CUST-101139,VEH-200059,2023-11-28T08:58,2023-11-30T11:58,invoiced,Liam Scott,,normal,351952,ABS light,Front tires cupped,Installed battery,4.1,536.61,2110.45,119.64,0,0,138.34,2905.04,approved,paid,INV-500072,waiter,
WO-400073,,CUST-100379,VEH-200878,2025-07-27T16:50,2025-07-30T23:50,completed,Oliver Thomas,,high,91788,Oil life low,Front tires cupped,Replaced hose and topped coolant,14.4,2218.07,2040.56,23.46,0,0,214.1,4496.19,declined,partial,INV-500073,"fleet, pm",Customer approved by text
WO-400074,,CUST-100257,VEH-202128,2024-10-21T15:52,2024-10-22T09:52,invoiced,Nora Martinez,Layla Johnson,low,157666,Overheating,Front tires cupped,Installed battery,12.0,1460.75,1538.97,121.88,789.06,0,195.53,4106.19,not_required,partial,INV-500074,fleet,
WO-400075,APPT-300332,CUST-101142,VEH-201558,2024-05-22T04:47,2024-05-24T15:47,closed,Mila Miller,Edward Nguyen,low,10086,No crank,Loose tie rod,Diagnosed wiring fault,9.9,1142.33,1617.25,13.31,0,0,138.64,2911.53,approved,paid,,"pm, upsell, diag",Fleet billing
WO-400076,,CUST-101657,VEH-200785,2025-11-15T11:30,2025-11-16T20:30,completed,Avery Robinson,Lucas Green,high,164611,ABS light,Loose tie rod,Replaced hose and topped coolant,11.3,1702.99,1015.57,4.23,0,0,136.14,2858.93,not_required,paid,INV-500076,,Legacy WO imported from old DMS
WO-400077,,CUST-101732,VEH-201283,2024-04-23T18:37,2024-04-24T16:37,awaiting_approval,James Garcia,Zoey Thompson,normal,207867,No crank,Coolant leak at upper hose,Replaced front pads/rotors,9.2,1072.62,1514.68,91.16,0,0,133.92,2812.38,approved,paid,INV-500077,,
WO-400078,,CUST-100426,VEH-200572,2024-02-15T19:31,2024-02-17T14:31,invoiced,Elijah Thompson,,high,187195,PM due,P0420 stored,Diagnosed wiring fault,4.8,561.43,1247.16,25.8,0,0,91.72,1926.11,pending,unpaid,INV-500078,"diag, fleet, comeback-risk",Fleet billing
WO-400079,APPT-300388,CUST-100969,VEH-201965,2025-03-15T11:35,2025-03-17T01:35,closed,Lucas Lewis,,low,42307,No crank,P0420 stored,,6.7,947.63,1395.05,51.15,23.37,0,120.86,2538.06,not_required,unpaid,INV-500079,"diag, fleet, upsell",Needs comeback follow-up
WO-400080,,CUST-100064,VEH-201836,2025-08-24T15:14,,closed,Lucas Nguyen,Elijah Anderson,normal,117899,Overheating,,Recommended tires,6.1,1010.33,1131.36,11.04,0,0,107.64,2260.37,approved,paid,INV-500080,"brakes, upsell, diag",Customer approved by text
WO-400081,,CUST-101186,VEH-201618,2025-05-06T09:43,2025-05-08T00:43,invoiced,Mila Smith,,high,254343,Pulling left,Battery failed load test,,1.8,301.38,880.02,37.17,0,0,60.93,1279.5,declined,paid,INV-500081,waiter,Customer approved by text
WO-400082,APPT-300341,CUST-101769,VEH-201807,2024-09-24T06:53,,invoiced,Riley Nelson,Charlotte Davis,urgent,76234,Overheating,Battery failed load test,Replaced front pads/rotors,9.9,1623.13,568.2,23.05,0,0,110.72,2325.1,declined,written_off,INV-500082,"comeback-risk, brakes",Fleet billing
WO-400083,,CUST-101723,VEH-201026,2026-03-31T03:08,2026-04-01T14:08,closed,Noah Nguyen,Mila Garcia,normal,157616,Grinding brakes,Coolant leak at upper hose,Replaced front pads/rotors,6.2,831.12,1811.14,26.02,0,0,133.41,2801.69,pending,partial,,,Legacy WO imported from old DMS
WO-400084,,CUST-100152,VEH-200377,2024-01-20T03:14,2024-01-21T15:14,completed,Sophia Nguyen,Wyatt Hill,urgent,314113,Grinding brakes,Pads below spec,,1.7,283.56,47.31,0.63,0,22.81,15.43,324.12,not_required,paid,,upsell,Needs comeback follow-up
WO-400085,,CUST-100305,VEH-201001,2023-12-08T09:48,2023-12-12T19:48,invoiced,Jade Miller,Finn Hill,urgent,251514,No crank,Coolant leak at upper hose,Diagnosed wiring fault,11.7,1919.99,428.14,32.77,0,0,119.05,2499.95,pending,paid,INV-500085,"waiter, brakes",
WO-400086,APPT-300780,CUST-101200,VEH-201284,2024-12-01T14:35,2024-12-03T03:35,closed,Jack Wright,Ethan Martinez,low,298388,Grinding brakes,Front tires cupped,Replaced hose and topped coolant,1.3,182.64,2242.14,49.25,0,0,123.7,2597.73,declined,partial,INV-500086,,Legacy WO imported from old DMS
WO-400087,APPT-300331,CUST-100644,VEH-201288,2025-04-29T02:41,2025-05-02T17:41,awaiting_approval,Mikayla Baker,Ella Anderson,high,300493,Vibration,Battery failed load test,Diagnosed wiring fault,12.6,2022.72,816.56,32.45,0,16.76,142.75,2997.72,pending,partial,INV-500087,"waiter, comeback-risk",
WO-400088,,CUST-101193,VEH-201020,2024-06-08T01:47,2024-06-12T18:47,completed,Mila Harris,Aiden Johnson,urgent,147037,PM due,Front tires cupped,Recommended tires,1.9,235.04,395.67,31.51,0,0,33.11,695.33,declined,partial,INV-500088,,Fleet billing
WO-400089,APPT-300204,CUST-101359,VEH-200974,2024-07-20T17:01,2024-07-21T01:01,awaiting_approval,James Perez,Scarlett Taylor,urgent,173952,Oil life low,Pads below spec,Diagnosed wiring fault,12.6,1595.28,1557.83,94.74,0,0,162.39,3410.24,pending,written_off,INV-500089,"upsell, pm",Fleet billing
WO-400090,,CUST-100298,VEH-201677,2024-06-12T20:19,2024-06-15T12:19,awaiting_approval,Edward Baker,Sophia Clark,high,238512,Grinding brakes,,Installed battery,13.8,1741.15,1537.06,33.81,0,0,165.6,3477.62,approved,unpaid,INV-500090,fleet,
WO-400091,,CUST-101386,VEH-200622,2025-12-04T12:42,2025-12-07T12:42,completed,Layla White,Scarlett Hill,normal,252945,CEL on,Pads below spec,Replaced hose and topped coolant,7.1,1096.14,354.44,14.44,0,0,73.25,1538.27,pending,paid,INV-500091,"brakes, pm, comeback-risk",Needs comeback follow-up
