part_number,vendor_id,brand,description,category,unit_cost,sell_price,qty_on_hand,qty_reserved,reorder_point,location_bin,core_charge,taxable,active,supersedes_part_number,barcode,notes,last_received_at
TIR-24738,VEND-002,OEM,Starter,Tires,500.73,1042.42,99,9,19,A-2-23,0,true,false,,580022326767,Legacy duplicate SKU?,2024-06-03T13:30
STE-50049,VEND-006,OEM,Serpentine belt,Steering,638.81,990.5,12,14,10,B-1-17,22.76,true,true,,,Negative qty from bad count,2026-03-18
FLU-21489,VEND-002,Moog,Battery 94R Premium,Fluids,274.6,278.2,70,10,22,,0,true,true,,111176851334,Legacy duplicate SKU?,08/13/2025
SUS-51133,VEND-005,Monroe,Spark plugs set,Suspension,430.14,989.51,2,4,13,FLUID-RACK,0,true,true,,440730223534,Legacy duplicate SKU?,2024-04-28T13:30
BEL-87549,VEND-006,Motorcraft,Shock absorber,Belts,469.3,1145.58,120,15,22,A-1-24,0,false,false,,478988775028,Special order only,2024-06-24T13:30
BRA-75821,VEND-001,Denso,Alternator Economy,Brakes,22.62,718.47,37,3,0,A-8-36,0,true,false,,670892570226,Special order only,2025-05-16T13:30
FIL-21106,VEND-008,FleetGuard,Oil filter,Filters,13.08,88.57,100,1,26,TIRE-CAGE,80.28,true,true,,,,2025-10-01T13:30
SUS-64161,VEND-009,Bosch,Starter Premium,Suspension,569.73,720.32,20,2,5,TIRE-CAGE,0,true,true,OLD-7444,157353699394,Special order only,2025-09-21
FIL-30419,VEND-006,ACDelco,Shock absorber,Filters,45.52,53.16,33,4,23,,44.39,true,true,,707107006891,,2025-03-23T13:30
HOS-66014,VEND-002,Motorcraft,Cabin air filter,Hoses,250.68,346.96,8,3,10,FLUID-RACK,0,false,true,,,Special order only,2025-09-27
SUS-66520,VEND-005,FleetGuard,DEF fluid 9.46L,Suspension,508.37,115.3,111,14,10,B-4-5,12.01,true,true,,,Negative qty from bad count,02/03/2025
LIG-37462,VEND-009,Monroe,Shock absorber,Lighting,343.86,413.7,53,7,13,TIRE-CAGE,0,false,true,,277243686685,Negative qty from bad count,2025-06-07T13:30
HVA-81845,VEND-001,OEM,Wheel seal kit,HVAC,542.04,773.47,41,0,5,TIRE-CAGE,0,true,true,OLD-7563,,Core tracked externally,2026-03-22
LIG-60050,VEND-009,Moog,Battery 94R HD,Lighting,266.59,184.88,113,8,0,FLUID-RACK,88.48,false,true,,,Special order only,2025-09-17 13:30:28
BRA-46938,VEND-005,FleetGuard,Headlamp bulb,Brakes,50.86,95.7,97,6,5,A-10-6,60.73,true,true,,328852551764,,2024-11-03T13:30
BRA-60432,VEND-004,Motorcraft,Wheel seal kit,Brakes,131.73,604.07,46,2,30,,0,false,true,,413353778392,Core tracked externally,2025-04-15T13:30
SUS-82144,VEND-008,Monroe,Radiator hose upper Premium,Suspension,502.09,1107.34,84,2,6,,0,true,true,,971377526751,Core tracked externally,2025-06-02 13:30:28
BRA-83133,VEND-002,FleetGuard,Tie rod end,Brakes,84.95,412.08,98,8,24,B-1-1,81.97,false,true,,315950699116,,2025-12-26
HOS-25745,VEND-002,Moog,Shock absorber,Hoses,429.23,389.6,79,3,25,FLUID-RACK,79.08,true,true,,,,2025-05-06T13:30
HVA-67236,VEND-003,Moog,Headlamp bulb,HVAC,60.1,634.97,90,14,19,,99.45,false,true,OLD-5587,058699217213,Negative qty from bad count,2024-11-24T13:30
ENG-98684,VEND-003,Motorcraft,Battery 94R Premium,Engine,537.86,193.34,29,12,23,TIRE-CAGE,23.33,true,true,,361389077997,,2025-10-26
TIR-79371,VEND-001,ACDelco,Headlamp bulb,Tires,640.32,668.96,58,7,3,,0,true,false,,026052172410,Negative qty from bad count,2026-01-19
ENG-93489,VEND-002,Denso,Spark plugs set,Engine,575.96,278.48,9,1,0,FLUID-RACK,47.3,false,false,OLD-2140,639728998599,Core tracked externally,03/07/2025
HVA-50166,VEND-001,Monroe,Tie rod end,HVAC,198.76,720.16,118,0,12,B-2-14,27.72,true,false,,393098094787,,2024-05-05T13:30
FLU-17154,VEND-010,FleetGuard,Oil filter Premium,Fluids,14.03,817.34,10,8,4,FLUID-RACK,0,false,true,,802596544531,Special order only,2024-06-16 13:30:28
FLU-73102,VEND-002,Motorcraft,Spark plugs set,Fluids,579.63,1041.26,104,3,19,,102.38,false,true,,,Legacy duplicate SKU?,04/06/2025
TIR-41782,VEND-005,ACDelco,Battery 94R Economy,Tires,227.63,297.6,66,3,17,TIRE-CAGE,0,false,false,,,Negative qty from bad count,2025-01-20 13:30:28
FLU-76848,VEND-005,OEM,Wheel seal kit,Fluids,268.81,1074.59,59,13,2,A-6-28,0,true,true,OLD-3143,,Negative qty from bad count,2024-12-05T13:30
TIR-48463,VEND-006,Motorcraft,Oil filter,Tires,300.59,369.94,42,3,0,B-4-12,50.47,false,true,,,Core tracked externally,2026-02-13 13:30:28
LIG-60779,VEND-009,Bosch,Radiator hose upper,Lighting,187.25,843.72,105,8,16,,53.47,true,false,,853088563127,Special order only,2025-04-15T13:30
BEL-60892,VEND-001,ACDelco,Radiator hose upper,Belts,117.38,431.76,83,3,15,FLUID-RACK,104.0,true,true,OLD-6582,089501855432,Special order only,2026-01-05 13:30:28
FLU-19341,VEND-004,Denso,Spark plugs set,Fluids,590.31,1039.46,5,13,20,FLUID-RACK,0,true,true,,337581594829,Core tracked externally,2025-01-10
ELE-71708,VEND-007,Motorcraft,Radiator hose upper Economy,Electrical,431.42,30.43,-2,12,15,TIRE-CAGE,0,true,true,,209222055266,Special order only,06/10/2025
HOS-33420,VEND-006,OEM,Engine air filter,Hoses,414.67,473.81,13,15,22,FLUID-RACK,0,false,false,,,Special order only,2024-06-01T13:30
ENG-40546,VEND-004,Moog,Alternator,Engine,221.38,352.61,99,4,20,TIRE-CAGE,0,true,true,,,,2025-11-25 13:30:28
LIG-54741,VEND-003,Bosch,DEF fluid 9.46L,Lighting,63.92,785.01,110,2,9,B-3-18,0,true,true,,950868342549,Legacy duplicate SKU?,2025-05-09 13:30:28
STE-62499,VEND-008,Monroe,Shock absorber,Steering,50.7,662.17,66,8,9,B-3-22,0,true,false,,105435657969,Negative qty from bad count,2024-10-18
BOD-89802,VEND-010,OEM,Wheel seal kit,Body,96.6,712.22,76,0,1,TIRE-CAGE,0,false,false,,,Legacy duplicate SKU?,2024-09-23 13:30:28
BEL-92872,VEND-004,Wagner,Engine air filter,Belts,295.18,143.58,23,14,30,B-5-2,32.37,true,true,,,Core tracked externally,2025-02-25T13:30
ELE-13616,VEND-004,NAPA,Wheel seal kit HD,Electrical,28.8,1049.87,105,1,30,,0,true,false,,,Core tracked externally,2024-10-03T13:30
ENG-17918,VEND-008,Moog,Oil filter Premium,Engine,362.33,519.03,99,5,22,B-4-25,0,false,false,OLD-2085,559437283149,Legacy duplicate SKU?,04/17/2025
HOS-62796,VEND-006,Moog,Brake pad set front,Hoses,462.57,776.12,40,4,3,A-3-2,0,true,true,,231992060277,Legacy duplicate SKU?,10/04/2024
FLU-68393,VEND-003,OEM,Radiator hose upper HD,Fluids,119.52,501.62,64,7,0,,0,true,false,OLD-5045,,Legacy duplicate SKU?,2025-08-06T13:30
BRA-19069,VEND-007,Motorcraft,Oil filter,Brakes,325.15,284.49,61,4,23,,0,true,true,,,,2024-10-28 13:30:28
STE-45137,VEND-007,Wagner,Serpentine belt HD,Steering,456.9,919.57,0,6,2,B-2-22,0,false,true,,973383683130,Special order only,2026-02-10T13:30
TIR-99185,VEND-007,NAPA,Serpentine belt,Tires,126.2,396.32,118,13,7,A-3-6,0,true,false,,031219782578,Core tracked externally,2026-03-10T13:30
LIG-76495,VEND-010,OEM,Wheel seal kit,Lighting,636.81,1103.2,94,1,23,B-2-17,0,true,true,,,Negative qty from bad count,2024-08-27T13:30
LIG-13895,VEND-010,ACDelco,Brake pad set rear Premium,Lighting,225.57,590.37,20,13,16,FLUID-RACK,0,true,true,,,Negative qty from bad count,01/11/2026
HOS-40829,VEND-002,NAPA,Oil filter Economy,Hoses,84.05,541.25,113,15,1,FLUID-RACK,119.84,true,true,,574817936116,Negative qty from bad count,2025-08-02T13:30
BRA-18910,VEND-009,NAPA,Radiator hose upper,Brakes,330.12,214.99,62,12,8,TIRE-CAGE,0,true,true,OLD-1339,,Legacy duplicate SKU?,2025-05-05T13:30
STE-45974,VEND-003,Denso,Brake pad set front,Steering,512.04,559.82,107,11,6,A-9-1,0,true,true,,,Legacy duplicate SKU?,2026-03-09
TIR-55050,VEND-006,FleetGuard,Brake pad set front Economy,Tires,386.58,107.58,48,7,19,B-6-22,0,true,false,,795014929154,Core tracked externally,2025-05-07T13:30
HVA-77268,VEND-009,ACDelco,Battery 94R Economy,HVAC,416.64,1143.48,113,15,1,B-6-23,0,true,true,,509404103172,Special order only,2024-12-03T13:30
FLU-94817,VEND-004,OEM,Tie rod end HD,Fluids,146.72,398.4,11,13,10,,68.74,false,true,OLD-2832,321876148229,Special order only,2025-03-30T13:30
BEL-97989,VEND-005,Bosch,Wheel seal kit,Belts,541.0,737.13,62,8,7,FLUID-RACK,0,true,true,,787385110003,,2025-11-03T13:30
HVA-76319,VEND-003,Bosch,Headlamp bulb Economy,HVAC,141.05,531.18,73,7,28,B-2-1,77.61,true,false,,454169346760,Legacy duplicate SKU?,2025-12-01
TIR-75639,VEND-003,Moog,Starter Economy,Tires,533.82,308.04,75,11,29,TIRE-CAGE,0,true,true,,046836695613,Special order only,2024-10-11T13:30
LIG-91779,VEND-005,ACDelco,Cabin air filter HD,Lighting,28.09,931.2,30,7,3,,0,true,false,,840514265506,,2025-02-25 13:30:28
ENG-80479,VEND-009,Monroe,Brake pad set front,Engine,645.26,563.91,93,14,26,A-9-39,115.0,false,false,,406140004589,Special order only,2025-04-21
BOD-91506,VEND-003,Wagner,Starter Premium,Body,512.62,385.52,113,2,20,,0,true,true,,904776112356,Legacy duplicate SKU?,2025-07-02T13:30
FLU-76048,VEND-007,Moog,Brake pad set rear,Fluids,527.74,162.4,9,0,15,FLUID-RACK,0,true,true,,,Special order only,2026-01-29T13:30
BRA-10603,VEND-008,Wagner,Brake pad set front Economy,Brakes,144.8,662.16,83,2,19,B-7-9,29.59,true,true,,838108810029,Special order only,2025-06-18
FLU-48239,VEND-005,Denso,Battery 94R,Fluids,542.0,680.09,28,11,3,A-9-5,0,true,true,,080520112827,,11/19/2025
ELE-26405,VEND-003,Wagner,Spark plugs set Economy,Electrical,552.97,953.62,69,0,29,TIRE-CAGE,0,true,true,,,,2024-10-26 13:30:28
SUS-51106,VEND-002,Denso,Oil filter,Suspension,505.91,451.35,100,13,19,A-11-34,93.5,false,false,,,,2025-06-18
ENG-44364,VEND-008,NAPA,Wheel seal kit Premium,Engine,611.74,977.6,43,2,3,FLUID-RACK,67.54,true,false,OLD-2124,431621348211,Core tracked externally,2024-10-20T13:30
HVA-25577,VEND-002,OEM,Oil filter,HVAC,2.67,999.97,12,5,12,FLUID-RACK,0,true,true,,128103261078,,2024-11-18
STE-34088,VEND-003,NAPA,Starter,Steering,47.61,133.4,80,13,14,B-8-1,28.93,true,true,,,Special order only,2025-03-09T13:30
SUS-10892,VEND-002,ACDelco,Tie rod end,Suspension,88.55,1026.64,26,11,2,B-6-21,0,true,true,OLD-6371,019706804210,Core tracked externally,2024-09-11T13:30
STE-82740,VEND-003,Motorcraft,Wheel seal kit Premium,Steering,604.39,1055.83,7,15,13,B-7-4,0,false,false,,154825758645,,2025-11-20 13:30:28
LIG-49944,VEND-007,Moog,Cabin air filter,Lighting,154.05,255.84,88,4,28,,0,true,true,,,Special order only,2026-02-20
BRA-24466,VEND-008,Wagner,Oil filter,Brakes,109.92,933.24,111,7,6,TIRE-CAGE,0,true,true,,858611571804,Legacy duplicate SKU?,2025-01-24T13:30
BRA-54108,VEND-003,NAPA,Alternator HD,Brakes,340.88,721.24,20,14,6,TIRE-CAGE,0,true,true,,,Core tracked externally,07/20/2024
FIL-19285,VEND-002,Wagner,Tie rod end Premium,Filters,225.62,260.65,85,15,4,B-2-5,0,true,true,OLD-4597,,Legacy duplicate SKU?,2024-10-28 13:30:28
